ID Pedido,Fecha,ID Cliente,ID Producto,Cantidad,Total,Estado
1,2024-09-01,101,1,2,20.00,Entregado
2,2024-09-02,102,3,1,12.00,En preparación
3,2024-09-03,103,2,3,24.00,Entregado
4,2024-09-04,104,5,5,10.00,Cancelado
5,2024-09-05,105,4,1,11.00,Entregado
6,2024-09-06,106,6,2,25.00,Entregado
7,2024-09-07,107,8,3,27.00,En preparación
8,2024-09-08,108,7,1,13.00,Entregado
9,2024-09-09,109,9,1,15.00,Cancelado
10,2024-09-10,110,10,4,20.00,Entregado
11,2024-09-11,111,12,2,19.00,En preparación
12,2024-09-12,112,15,1,15.00,Entregado
13,2024-09-13,113,19,3,13.50,Entregado
14,2024-09-14,114,20,1,10.00,Cancelado
15,2024-09-15,115,21,2,24.00,Entregado
16,2024-09-16,116,11,3,34.50,En preparación
17,2024-09-17,117,13,1,7.00,Entregado
18,2024-09-18,118,25,2,20.00,Cancelado
19,2024-09-19,119,22,1,10.50,Entregado
20,2024-09-20,120,28,3,12.00,Entregado
21,2024-09-21,121,30,1,6.50,En preparación
22,2024-09-22,122,4,1,11.00,Entregado
23,2024-09-23,123,14,1,10.00,Cancelado
24,2024-09-24,124,27,2,26.00,Entregado
25,2024-09-25,125,23,1,5.50,Entregado
26,2024-09-26,126,26,1,14.00,En preparación
27,2024-09-27,127,5,1,2.00,Entregado
28,2024-09-28,128,24,3,27.00,Cancelado
29,2024-09-29,129,15,1,15.00,Entregado
30,2024-09-30,130,18,2,6.00,Entregado
