ID Producto,Nombre del Producto,Precio,Distrito Disponible,Stock
1,Pizza Margherita,10.00,"1, 2, 3, 4, 5",50
2,Ensalada Caesar,8.00,"1, 3, 2004",30
3,Hamburguesa Clásica,12.00,"1, 2, 4, 5",20
4,Pasta Carbonara,11.00,"2, 3",15
5,Refresco,2.00,"1, 2, 3, 4, 5",100
6,Lasaña,12.50,"1, 3, 2005",25
7,Pollo a la Parrilla,13.00,"1, 2, 3, 4",30
8,Tacos al Pastor,9.00,"2, 4, 2005",40
9,Sushi Variado,15.00,"1, 5",10
10,Batido de Frutas,5.00,"1, 2, 3, 4, 5",60
11,Pizza Pepperoni,11.00,"1, 2, 2003",45
12,Ensalada de Quinoa,9.50,"2, 3, 2004",20
13,Nachos con Guacamole,7.00,"1, 3, 2005",50
14,Spaghetti Boloñesa,10.00,"2, 4",15
15,Filete de Res,15.00,"1, 4, 2005",25
16,Sopa de Mariscos,14.00,"1, 2",5
17,Crepas Dulces,6.00,"3, 4",30
18,Galletas Variadas,3.00,"1, 2, 3, 4, 5",80
19,Mousse de Chocolate,4.50,"1, 2",40
20,Ensalada Mediterránea,10.00,"2, 3, 2004",15
21,Brochetas de Pollo,12.00,"1, 2, 2003",20
22,Pizza Veggie,10.50,"1, 3, 2005",35
23,Smoothie Verde,5.50,"1, 2, 2003",50
24,Tortilla Española,9.00,"3, 4",15
25,Alitas de Pollo,10.00,"1, 2, 2004",40
26,Pescado a la Plancha,14.00,"1, 3, 2005",20
27,Fajitas de Res,13.00,"2, 4",25
28,Pan de Ajo,4.00,"1, 2, 2003",50
29,Pizza BBQ,11.50,"1, 2, 2005",15
30,Tarta de Frutas,6.50,"1, 3, 2004",20
