Plato;Descripción;Precio
Juane;Arroz con pollo envuelto en hoja de bijao, acompañado de aceitunas y huevo.;25.0
Inchicapi;Sopa espesa a base de pollo, yuca y aguaje.;18.0
Tacacho con cecina;Puré de plátano con cecina (carne de cerdo) asada.;20.0
Patarashca;Pescado marinado en especias y cocido en hoja de plátano.;30.0
Choripan;Salchicha a la parrilla servida en pan.;15.0
Sopa de Aguaje;Sopa a base de aguaje, con pollo y hierbas.;12.0
Sopa de Carachama;Sopa hecha de pescado carachama, yuca y especias.;22.0
Cecina;Carne de cerdo ahumada servida con plátano.;16.0
Camarones al estilo Iquitos;Camarones fritos, sazonados con especias locales.;28.0
Chicha de Jora;Bebida fermentada de maíz, típica de la región.;10.0
